Weekly U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WGFRPUS2&f=W
15:06:36 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline Thousand Barrels per Day
04/27/2001,8476
04/20/2001,8545
04/13/2001,8477
04/6/2001,8156
03/30/2001,7955
03/23/2001,7869
03/16/2001,7865
03/9/2001,8060
03/2/2001,7828
02/23/2001,7974
02/16/2001,7677
02/9/2001,7692
02/2/2001,7641
01/26/2001,7789
01/19/2001,7896
01/12/2001,7785
01/5/2001,7550
12/29/2000,7984
12/22/2000,8084
12/15/2000,8379
12/8/2000,8622
12/1/2000,8505
11/24/2000,8183
11/17/2000,8250
11/10/2000,8383
11/3/2000,8059
10/27/2000,8249
10/20/2000,8168
10/13/2000,8057
10/6/2000,8101
09/29/2000,8424
09/22/2000,8406
09/15/2000,8132
09/8/2000,8040
09/1/2000,8057
08/25/2000,8295
08/18/2000,8546
08/11/2000,8352
08/4/2000,8249
07/28/2000,8556
07/21/2000,8228
07/14/2000,8650
07/7/2000,8590
06/30/2000,8325
06/23/2000,8547
06/16/2000,8506
06/9/2000,8383
06/2/2000,8469
05/26/2000,8434
05/19/2000,8390
05/12/2000,8385
05/5/2000,8425
04/28/2000,8214
04/21/2000,8192
04/14/2000,8235
04/7/2000,8355
03/31/2000,8256
03/24/2000,8146
03/17/2000,8051
03/10/2000,8220
03/3/2000,7839
02/25/2000,7830
02/18/2000,7775
02/11/2000,7674
02/4/2000,7812
01/28/2000,7836
01/21/2000,7626
01/14/2000,8039
01/7/2000,8173
12/31/1999,8388
12/24/1999,8278
12/17/1999,8438
12/10/1999,8261
12/3/1999,8229
11/26/1999,8254
11/19/1999,8115
11/12/1999,7939
11/5/1999,8109
10/29/1999,8154
10/22/1999,7794
10/15/1999,8296
10/8/1999,8481
10/1/1999,8590
09/24/1999,8493
09/17/1999,8271
09/10/1999,8205
09/3/1999,8287
08/27/1999,8384
08/20/1999,8321
08/13/1999,8319
08/6/1999,8096
07/30/1999,8156
07/23/1999,8047
07/16/1999,8226
07/9/1999,7952
07/2/1999,8199
06/25/1999,8165
06/18/1999,8277
06/11/1999,8182
06/4/1999,8405
05/28/1999,8401
05/21/1999,8248
05/14/1999,8319
05/7/1999,8166
04/30/1999,8327
04/23/1999,7950
04/16/1999,7863
04/9/1999,7833
04/2/1999,7715
03/26/1999,7676
03/19/1999,7686
03/12/1999,7761
03/5/1999,7930
02/26/1999,7866
02/19/1999,7854
02/12/1999,7907
02/5/1999,7877
01/29/1999,7792
01/22/1999,7767
01/15/1999,8192
01/8/1999,8153
01/1/1999,8400
12/25/1998,8306
12/18/1998,8346
12/11/1998,8217
12/4/1998,8413
11/27/1998,8181
11/20/1998,8029
11/13/1998,8335
11/6/1998,8259
10/30/1998,7947
10/23/1998,7861
10/16/1998,8114
10/9/1998,7715
10/2/1998,7961
09/25/1998,8026
09/18/1998,8057
09/11/1998,8193
09/4/1998,8237
08/28/1998,8403
08/21/1998,8187
08/14/1998,8167
08/7/1998,7968
07/31/1998,8272
07/24/1998,8030
07/17/1998,8524
07/10/1998,8511
07/3/1998,8096
06/26/1998,8368
06/19/1998,8355
06/12/1998,8252
06/5/1998,8182
05/29/1998,8216
05/22/1998,8213
05/15/1998,8149
05/8/1998,7918
05/1/1998,8013
04/24/1998,8083
04/17/1998,8191
04/10/1998,7945
04/3/1998,7933
03/27/1998,7975
03/20/1998,7609
03/13/1998,7314
03/6/1998,7242
02/27/1998,7508
02/20/1998,7674
02/13/1998,7826
02/6/1998,7781
01/30/1998,7545
01/23/1998,7484
01/16/1998,7823
01/9/1998,8001
01/2/1998,8399
12/26/1997,8331
12/19/1997,8043
12/12/1997,8177
12/5/1997,8049
11/28/1997,7627
11/21/1997,7875
11/14/1997,7908
11/7/1997,7974
10/31/1997,7881
10/24/1997,7715
10/17/1997,8097
10/10/1997,8116
10/3/1997,8334
09/26/1997,8134
09/19/1997,8081
09/12/1997,8186
09/5/1997,8213
08/29/1997,8207
08/22/1997,7970
08/15/1997,7937
08/8/1997,7981
08/1/1997,7806
07/25/1997,7959
07/18/1997,8173
07/11/1997,8000
07/4/1997,8105
06/27/1997,8008
06/20/1997,8230
06/13/1997,8122
06/6/1997,7917
05/30/1997,7998
05/23/1997,7992
05/16/1997,7935
05/9/1997,8179
05/2/1997,7791
04/25/1997,7737
04/18/1997,7799
04/11/1997,7424
